"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"209167_at",6.99557070847811,-0.405713597666259,0.113804667601769,-3.56499962801133,0.000363856704581171,0.0229145864526117
"209168_at",5.19823465264192,-0.454864196497003,0.135621448487967,-3.35392522029701,0.000796738916248238,0.0422646940040485
"209169_at",4.68589004451406,-0.58252251756376,0.141469225702243,-4.11766244334879,3.82734740316723e-05,0.00361753166782813
"209173_at",7.95870156964393,2.09459136626651,0.143502237322369,14.5962279428517,2.9681979055599e-48,1.16988552249738e-43
"209243_s_at",4.33715680733939,-0.635109180148532,0.15849238917608,-4.00719039854301,6.14453281982827e-05,0.00533437481411258
"209283_at",8.51554342603236,-0.537874823101879,0.108962335634577,-4.93633712942543,7.96034559622741e-07,0.000127986678020012
"209292_at",5.07997570394337,-0.531526487677722,0.147159033865969,-3.61191884530739,0.000303939691623537,0.0199991302264609
"209293_x_at",3.19903439407798,-0.650445683232839,0.178777393721169,-3.63829939397881,0.000274444276334841,0.0182103479923593
"209395_at",8.73045559406417,-0.550145830754988,0.103428608159512,-5.3190876348885,1.04288896990351e-07,2.07598110402913e-05
"209396_s_at",7.13651942644097,-0.719610665435384,0.115086497998751,-6.25278097734098,4.03207423596152e-10,1.32433478280156e-07
"209425_at",4.3253679661305,0.510974389674606,0.150616849995949,3.39254465677877,0.000692466435518561,0.037854191525005
"209457_at",6.30241804065042,0.433432468737513,0.125567217433934,3.45179639714131,0.00055686776017758,0.0320239754129644
"209504_s_at",5.18743449135321,-0.741359818880394,0.138286535901296,-5.36104121813818,8.27436335800193e-08,1.70746469838894e-05
"209505_at",6.8767203821244,0.755397663272414,0.121724320447187,6.20580719199958,5.44168619599939e-10,1.7437286156839e-07
"209506_s_at",5.23757288434493,0.447445140765073,0.135140386048743,3.31096538827177,0.000929747076887696,0.047529249401364
"209522_s_at",9.24769824496376,0.358113893401372,0.101828920355315,3.51681911338931,0.000436751309777368,0.0264425746905763
"209535_s_at",3.52565172035966,-0.692627964250306,0.168101055421718,-4.12030705287779,3.78367813907501e-05,0.00358840883979509
"209602_s_at",8.67918552850474,0.549769291056906,0.11140588685565,4.93483160157639,8.0219943834209e-07,0.000128007646408158
"209603_at",7.6653113637868,0.58127859217932,0.122514092293869,4.74458555171786,2.08933664092201e-06,0.000303871270720665
"209604_s_at",11.9908810840977,0.360330231836301,0.092150347617318,3.91024278424516,9.22033984901854e-05,0.00744693595920526
"209616_s_at",5.31669875533193,0.5202038338144,0.13590300786472,3.82775806060319,0.000129315773686785,0.00980163827709794
